MarketID,ProductID,PlatformID,ShopID,Price,Quantity,ReviewCount,StarRating,Storage,CrawlDate
MK298,P002,PL02,S008,19100000,674,140,4.9,256GB,2024-03-30
MK299,P002,PL02,S008,19100000,674,140,4.9,256GB,2024-04-07
MK300,P002,PL02,S008,19100000,674,140,4.9,256GB,2024-04-17
MK301,P002,PL02,S009,25990200,110,20,4.9,256GB,2024-01-27
MK302,P002,PL02,S009,25990200,110,20,4.9,256GB,2024-02-04
MK303,P002,PL02,S009,25990200,110,20,4.9,256GB,2024-02-11
MK304,P002,PL02,S009,25990200,111,21,4.9,256GB,2024-03-08
MK305,P002,PL02,S009,25990200,111,21,4.9,256GB,2024-03-23
MK306,P002,PL02,S009,25990200,111,21,4.9,256GB,2024-03-30
MK307,P002,PL02,S009,25990200,111,21,4.9,256GB,2024-04-07
MK308,P002,PL02,S009,25990200,111,21,4.9,256GB,2024-04-17
MK309,P002,PL02,S050,33290730,17,1,1.0,256GB,2024-03-30
MK310,P002,PL02,S050,33290730,17,1,1.0,256GB,2024-04-17
MK311,P002,PL02,S011,27990000,166,4,4.0,256GB,2024-02-11
MK312,P002,PL02,S011,26990000,167,4,4.0,256GB,2024-03-08
MK313,P002,PL02,S011,26990000,167,4,4.0,256GB,2024-03-23
MK314,P002,PL02,S011,26990000,167,4,4.0,256GB,2024-03-30
MK315,P002,PL02,S011,26990000,167,4,4.0,256GB,2024-04-07
MK316,P002,PL02,S011,26990000,167,4,4.0,256GB,2024-04-17
MK317,P002,PL02,S014,21090000,0,0,0.0,256GB,2024-01-27
MK318,P002,PL02,S014,21090000,0,0,0.0,256GB,2024-02-04
MK319,P002,PL02,S014,21090000,0,0,0.0,256GB,2024-02-11
MK320,P002,PL02,S014,21090000,0,0,0.0,256GB,2024-02-21
MK321,P002,PL02,S014,21090000,0,0,0.0,256GB,2024-03-08
MK322,P002,PL02,S014,21090000,0,0,0.0,256GB,2024-03-23
MK323,P002,PL02,S014,21090000,0,0,0.0,256GB,2024-03-30
MK324,P002,PL02,S014,21090000,0,0,0.0,256GB,2024-04-07
MK325,P002,PL02,S014,21090000,0,0,0.0,256GB,2024-04-17
MK326,P002,PL02,S010,22490000,199,43,4.8,256GB,2024-02-11
MK327,P002,PL02,S010,30230000,203,43,4.8,256GB,2024-04-17
MK328,P002,PL02,S015,28900000,0,0,0.0,512GB,2024-02-04
MK329,P002,PL02,S015,28900000,0,0,0.0,512GB,2024-02-11
MK330,P002,PL02,S015,28900000,0,0,0.0,512GB,2024-02-21
MK331,P002,PL02,S015,28900000,0,0,0.0,512GB,2024-03-08
