orderid,itemid,cmtid,ctime,rating,userid,shopid,comment,rating_star,skin_suitability,absorption,model_name
154458119215028,23354704062,13388539216,1701365606,1,609443633,308461157,Sản phẩm đúng với mô tả. Ảnh và video chỉ mang tính nhận xu. 1 2 3,5,,,Natural Titanium
153369041286609,23354704062,13208699946,1699981764,1,308202686,308461157,Tuyệt vời,5,,,Natural Titanium
153381352274059,23354704062,13368619158,1701229684,1,5709482,308461157,,5,,,Natural Titanium
157074117240226,23354704062,13689296565,1703665589,1,57491289,308461157,Đóng gói cẩn thận,5,,,Natural Titanium
155112349276550,23354704062,13511639248,1702348558,1,226751589,308461157,"Hàng giao nhanh,nhận đủ",5,,,Natural Titanium
153334877247213,23354704062,13257288463,1700308365,1,31365763,308461157,Chất lượng sản phẩm:good,5,,,Natural Titanium
152508993201867,23354704062,13087060700,1699027980,1,40677267,308461157,Giao hàng nhanh,5,,,White Titanium
152471036256582,23354704062,13079621677,1698985673,1,1034519952,308461157,"Giao nhanh, it tins",5,,,Natural Titanium
151743814235363,23354704062,13004569201,1698339522,1,381333452,308461157,Blue đẹp thế này mà ai cũng chê là saoooooo,5,,,Blue Titanium
156272674296062,23354704062,13612941970,1703006661,1,1088472973,308461157,Lun ủng hộ viettel vi uy tín,5,,,White Titanium
152470988310564,23354704062,13117550251,1699285278,1,60978132,308461157,10Đ không có nhưng,5,,,Natural Titanium
153681714297313,23354704062,13326985292,1700880215,1,1088474581,308461157,Luôn ủng hộ shop,5,,,Natural Titanium
156013213228415,23354704062,13542292501,1702549056,1,308202686,308461157,Tuyệt vời,5,,,Natural Titanium
151515392296567,23354704062,13011447654,1698401912,1,1006335253,308461157,tốt lắm ạ,5,,,Blue Titanium
155111161279102,23354704062,13513054972,1702356539,1,52452555,308461157,Ok,5,,,Natural Titanium
153361865307113,23354704062,13293962263,1700617769,1,275826762,308461157,Tuyệt vời,5,,,White Titanium
157781135278611,23354704062,13772823095,1704426913,1,1037829483,308461157,ok,5,,,Natural Titanium
154458472257800,23354704062,13337832321,1700973494,1,21498633,308461157,Okkkk,5,,,Black Titanium
156315626206806,23354704062,13581137885,1702796703,1,1037829483,308461157,ok,5,,,White Titanium
153369206202152,23354704062,13353022538,1701087642,1,13623146,308461157,Được,5,,,Natural Titanium
154491329221954,23354704062,13385016748,1701342173,1,450181356,308461157,chất,5,,,White Titanium
154544406224265,23354704062,13356705269,1701134390,1,1034158658,308461157,Ok,4,,,Natural Titanium
157212222256854,23354704062,13708200614,1703825061,1,1077794154,308461157,Good,5,,,Natural Titanium
152507270302274,23354704062,13085301843,1699015945,1,726343128,308461157,hi,5,,,White Titanium
157136561253013,23354704062,13696064339,1703730189,1,1037829483,308461157,ok,5,,,White Titanium
153681800270988,23354704062,13315564949,1700786106,1,370276262,308461157,Ok,5,,,White Titanium
157207681286307,23354704062,13832031097,1704873099,1,29108194,308461157,"Tính năng nổi bật:tốt

Hàng xịn sò",5,,,Natural Titanium
153681256223993,23354704062,13305369905,1700705816,1,37252838,308461157,Sp tốt,5,,,Natural Titanium
153334989256403,23354704062,13217758385,1700045202,1,255121342,308461157,Good,5,,,White Titanium
153681357284189,23354704062,13255327612,1700298576,1,457823031,308461157,Goog,5,,,Natural Titanium
156057504252932,23354704062,13628714754,1703135805,1,1099420866,308461157,Good,5,,,White Titanium
153681492250279,23354704062,13255474190,1700299306,1,1078069387,308461157,tốt,5,,,Natural Titanium
156310845260526,23354704062,13631622403,1703150789,1,1037829483,308461157,xịn,5,,,White Titanium
153334903306046,23354704062,13181504076,1699802625,1,231714344,308461157,Ok,5,,,Natural Titanium
153334998203660,23354704062,13202158911,1699951425,1,1070131871,308461157,Ok,5,,,White Titanium
153347350316540,23354704062,13185516187,1699850473,1,74550607,308461157,ok,5,,,Natural Titanium
153373647257973,23354704062,13187615284,1699859995,1,216609005,308461157,Ok,5,,,Natural Titanium
153369017276171,23354704062,13176790739,1699775521,1,1025625845,308461157,Ok,5,,,White Titanium
153681515226468,23354704062,13254234701,1700293118,1,51448204,308461157,,5,,,Natural Titanium
153345922250567,23354704062,13220814951,1700056459,1,84392445,308461157,,5,,,Natural Titanium
151002043296180,23354704062,12986763365,1698210665,1,75486158,308461157,,5,,,White Titanium
151866079282512,23354704062,13013037120,1698409780,1,983605779,308461157,,5,,,Natural Titanium
151002012224820,23354704062,12913166282,1697595864,1,983605779,308461157,,5,,,White Titanium
152471001304212,23354704062,13270407234,1700414005,1,133773679,308461157,,5,,,Natural Titanium
153680506278649,23354704062,13266858295,1700389731,1,73610959,308461157,,5,,,Natural Titanium
151866132303956,23354704062,13119398803,1699320810,1,22467840,308461157,,5,,,White Titanium
153334857302760,23354704062,13306601006,1700713500,1,10376544,308461157,,5,,,Natural Titanium
152507296317676,23354704062,13338463577,1700977243,1,79443456,308461157,,5,,,White Titanium
154491859264593,23354704062,13337934127,1700974128,1,73610959,308461157,,5,,,White Titanium
154112420213206,23354704062,13337082538,1700968447,1,13983043,308461157,,5,,,Natural Titanium
155187077212068,23354704062,13460117107,1701941609,1,23624578,308461157,,5,,,Black Titanium
157551643211584,23354704062,13753735540,1704270954,1,200346947,308461157,,5,,,Natural Titanium
158087244235652,23354704062,13801589648,1704627922,1,34217558,308461157,,5,,,Natural Titanium
156058450222582,23354704062,13602957891,1702951885,1,53196163,308461157,,5,,,Blue Titanium
157560049231911,23354704062,13817848549,1704767650,1,18885645,308461157,,5,,,White Titanium
152470983225497,23354704062,13129869783,1699410672,1,49501476,308461157,,5,,,Natural Titanium
153369202241205,23354704062,13331522713,1700906898,1,12152470,308461157,,5,,,Natural Titanium
155115032285371,23354704062,13434778235,1701755951,1,2064325,308461157,,5,,,Natural Titanium
157622803294242,23354704062,13771011652,1704412892,1,198176,308461157,,5,,,Black Titanium
156310583286263,23354704062,13579171079,1702787144,1,1584567,308461157,,5,,,White Titanium
154458120206703,23354704062,13337624905,1700972162,1,256891881,308461157,,5,,,White Titanium
153680505207428,23354704062,13251576402,1700279795,1,120354188,308461157,,5,,,Natural Titanium
157741349201159,23354704062,13765135112,1704361166,1,296152160,308461157,,5,,,Natural Titanium
154458118222380,23354704062,13354727380,1701098018,1,236954905,308461157,,5,,,Natural Titanium
156075073271203,23354704062,13590984855,1702870068,1,447605971,308461157,,5,,,Natural Titanium
158000501200646,23354704062,13791508320,1704545484,1,139151908,308461157,,5,,,Blue Titanium
154458110211352,23354704062,13338647356,1700978349,1,51271151,308461157,,5,,,Natural Titanium
157549662217294,23354704062,13837723313,1704901731,1,149475281,308461157,,5,,,Natural Titanium
153369285204333,23354704062,13269870579,1700407618,1,120856267,308461157,,5,,,Natural Titanium
151002037235070,23354704062,12952268477,1697888461,1,91238864,308461157,,5,,,White Titanium
152510817218362,23354704062,13106359538,1699194392,1,211799213,308461157,,5,,,White Titanium
153681504315926,23354704062,13275721716,1700464582,1,19697884,308461157,,5,,,Natural Titanium
153370648303683,23354704062,13284322941,1700537764,1,11650866,308461157,,5,,,Black Titanium
156047854255881,23354704062,13573869950,1702734015,1,84063886,308461157,,5,,,Black Titanium
157741410297683,23354704062,13764534754,1704358142,1,113109003,308461157,,5,,,Black Titanium
156310125230650,23354704062,13579554244,1702789092,1,79370026,308461157,,5,,,Natural Titanium
153681921223010,23354704062,13318021303,1700802574,1,42482737,308461157,,5,,,White Titanium
154491644294786,23354704062,13337705833,1700972688,1,379521,308461157,,5,,,White Titanium
153680493212741,23354704062,13239535030,1700194937,1,156446618,308461157,,5,,,Natural Titanium
156013216294611,23354704062,13588165251,1702838504,1,2145133,308461157,,5,,,White Titanium
153380396253213,23354704062,13272388696,1700446622,1,317399934,308461157,,5,,,Natural Titanium
156315775240457,23354704062,13773785823,1704431816,1,346087980,308461157,,5,,,White Titanium
155111167289186,23354704062,13419272380,1701618617,1,59456434,308461157,,5,,,Blue Titanium
153367588226601,23354704062,13260927025,1700351918,1,59657028,308461157,,5,,,White Titanium
157651472273443,23354704062,13773031110,1704428033,1,282586933,308461157,,5,,,Natural Titanium
152471091280883,23354704062,13274639068,1700458796,1,80693871,308461157,,5,,,Natural Titanium
156059036212966,23354704062,13554826729,1702627794,1,20303936,308461157,,5,,,Natural Titanium
157379024215927,23354704062,13729284737,1704011156,1,20303936,308461157,,5,,,Natural Titanium
157222805293722,23354704062,13727681122,1703999445,1,22137443,308461157,,5,,,Natural Titanium
153367553259120,23354704062,13237892377,1700185789,1,10944084,308461157,,5,,,Blue Titanium
157178343294101,23354704062,13793828158,1704564018,1,93680783,308461157,,5,,,White Titanium
156057831294877,23354704062,13591188213,1702871138,1,177633975,308461157,,5,,,White Titanium
154501757230727,23354704062,13397619690,1701436798,1,120956655,308461157,,5,,,White Titanium
153334847221162,23354704062,13314333517,1700758273,1,31124853,308461157,,5,,,Natural Titanium
154492194258922,23354704062,13348320942,1701062825,1,523041903,308461157,,5,,,Blue Titanium
150571939212100,23354704062,12971874897,1698065310,1,242968977,308461157,,5,,,Blue Titanium
158000510216551,23354704062,13823881534,1704801190,1,442516308,308461157,,5,,,Natural Titanium
154458134277921,23354704062,13341349847,1700995048,1,208830506,308461157,,5,,,Natural Titanium
154491706256832,23354704062,13350355241,1701073815,1,134597349,308461157,,5,,,Natural Titanium
153344663259521,23354704062,13277638312,1700474819,1,393036652,308461157,,5,,,Natural Titanium
151293140244933,23354704062,12961093792,1697972136,1,45646298,308461157,,5,,,Blue Titanium
153681481300270,23354704062,13263097411,1700368528,1,915465785,308461157,,5,,,Natural Titanium
153680437309004,23354704062,13270018663,1700408988,1,596699230,308461157,,5,,,Natural Titanium
153680435218951,23354704062,13267492723,1700393162,1,1038689727,308461157,,5,,,Natural Titanium
153681027294673,23354704062,13265595002,1700382563,1,679995394,308461157,,5,,,Natural Titanium
153680488218833,23354704062,13263830711,1700372581,1,495399482,308461157,,5,,,Natural Titanium
152525635303604,23354704062,13133941901,1699434671,1,974542730,308461157,,5,,,White Titanium
154491764284582,23354704062,13337713585,1700972736,1,932743972,308461157,,5,,,White Titanium
154458019256164,23354704062,13344515434,1701018388,1,1098717276,308461157,,5,,,Natural Titanium
154458020292773,23354704062,13344545619,1701018946,1,1098949748,308461157,,5,,,Natural Titanium
153380877297327,23354704062,13336514458,1700964108,1,769747878,308461157,,5,,,Natural Titanium
154492332282889,23354704062,13356467528,1701132269,1,1063839110,308461157,,5,,,White Titanium
154458107268550,23354704062,13354266858,1701094764,1,713048414,308461157,,5,,,White Titanium
152470813247074,23354704062,13303509982,1700674209,1,979682915,308461157,,5,,,White Titanium
153369241222335,23354704062,13298149555,1700642103,1,1037413020,308461157,,5,,,Natural Titanium
156068990240358,23354704062,13597530036,1702900027,1,190464158,308461157,,5,,,Black Titanium
156058051220617,23354704062,13594360120,1702885977,1,1037556667,308461157,,5,,,Natural Titanium
156316196213419,23354704062,13594353654,1702885947,1,1037556667,308461157,,5,,,White Titanium
156059166278158,23354704062,13591691884,1702873646,1,861770915,308461157,,5,,,Blue Titanium
157741205229389,23354704062,13761879339,1704344358,1,1119326735,308461157,,5,,,Natural Titanium
156316610201298,23354704062,13750259032,1704248864,1,961288700,308461157,,5,,,White Titanium
157682346236136,23354704062,13760568947,1704336237,1,845889984,308461157,,5,,,Natural Titanium
156073234220514,23354704062,13772383634,1704424251,1,985812027,308461157,,5,,,White Titanium
157781270215315,23354704062,13766133739,1704365705,1,1025248469,308461157,,5,,,Natural Titanium
157688990297601,23354704062,13769071483,1704379454,1,961288700,308461157,,5,,,Natural Titanium
157137140253754,23354704062,13778804485,1704455337,1,1127183688,308461157,,5,,,Natural Titanium
153681563299028,23354704062,13284627533,1700539643,1,100433773,308461157,,5,,,Natural Titanium
153370928248582,23354704062,13213262190,1700026194,1,41717443,308461157,,5,,,White Titanium
156013754266630,23354704062,13550181716,1702606299,1,143238833,308461157,,5,,,White Titanium
156056882232092,23354704062,13539527359,1702537553,1,4960782,308461157,,5,,,White Titanium
153413062277853,23354704062,13540993261,1702543854,1,95711410,308461157,,5,,,White Titanium
